Question,${lm://Field/2},${lm://Field/3},${lm://Field/4},${lm://Field/5}
X15_Maxims,IncorrectLiteral,CorrectNonLiteral,IncorrectAssociate,IncorrectNonLiteral
X16_Maxims,IncorrectLiteral,CorrectNonLiteral,IncorrectNonLiteral,IncorrectAssociate
X17_Maxims,IncorrectLiteral,CorrectNonLiteral,IncorrectNonLiteral,IncorrectAssociate
X18_Maxims,IncorrectLiteral,IncorrectAssociate,CorrectNonLiteral,IncorrectNonLiteral
X19_Maxims,IncorrectLiteral,CorrectNonLiteral,IncorrectNonLiteral,IncorrectAssociate
X20_Maxims,IncorrectLiteral,CorrectNonLiteral,IncorrectAssociate,IncorrectNonLiteral
X1_PoliteDeceits,IncorrectLiteral,IncorrectNonLiteralLexicalOverlap,IncorrectNonLiteralSocialConvention,CorrectNonLiteral
X2_PoliteDeceits,IncorrectLiteral,IncorrectNonLiteralLexicalOverlap,CorrectNonLiteral,IncorrectNonLiteralSocialConvention
X3_PoliteDeceits,IncorrectLiteral,IncorrectNonLiteralLexicalOverlap,IncorrectNonLiteralSocialConvention,CorrectNonLiteral
X4_PoliteDeceits,IncorrectLiteral,CorrectNonLiteral,IncorrectNonLiteralLexicalOverlap,IncorrectNonLiteralSocialConvention
X5_PoliteDeceits,IncorrectLiteral,IncorrectNonLiteralLexicalOverlap,CorrectNonLiteral,IncorrectNonLiteralSocialConvention
X6_PoliteDeceits,IncorrectLiteral,IncorrectNonLiteralLexicalOverlap,CorrectNonLiteral,IncorrectNonLiteralSocialConvention
X7_PoliteDeceits,IncorrectLiteral,CorrectNonLiteral,IncorrectNonLiteralLexicalOverlap,IncorrectNonLiteralSocialConvention
X8_PoliteDeceits,IncorrectNonLiteralSocialConvention,CorrectNonLiteral,IncorrectLiteral,IncorrectNonLiteralLexicalOverlap
X9_PoliteDeceits,IncorrectLiteral,IncorrectNonLiteralLexicalOverlap,CorrectNonLiteral,IncorrectNonLiteralSocialConvention
X10_PoliteDeceits,IncorrectLiteral,CorrectNonLiteral,IncorrectNonLiteralLexicalOverlap,IncorrectNonLiteralSocialConvention
X11_PoliteDeceits,IncorrectLiteral,IncorrectNonLiteralLexicalOverlap,CorrectNonLiteral,IncorrectNonLiteralSocialConvention
X12_PoliteDeceits,IncorrectLiteral,IncorrectNonLiteralLexicalOverlap,CorrectNonLiteral,IncorrectNonLiteralSocialConvention
X13_PoliteDeceits,IncorrectLiteral,IncorrectNonLiteralLexicalOverlap,CorrectNonLiteral,IncorrectNonLiteralSocialConvention
X14_PoliteDeceits,IncorrectLiteral,IncorrectNonLiteralSocialConvention,CorrectNonLiteral,IncorrectNonLiteralLexicalOverlap
X15_PoliteDeceits,IncorrectLiteral,IncorrectNonLiteralLexicalOverlap,CorrectNonLiteral,IncorrectNonLiteralSocialConvention
X16_PoliteDeceits,IncorrectLiteral,IncorrectNonLiteralLexicalOverlap,CorrectNonLiteral,IncorrectNonLiteralSocialConvention
X17_PoliteDeceits,IncorrectLiteral,IncorrectNonLiteralLexicalOverlap,CorrectNonLiteral,IncorrectNonLiteralSocialConvention
X18_PoliteDeceits,IncorrectLiteral,IncorrectNonLiteralLexicalOverlap,CorrectNonLiteral,IncorrectNonLiteralSocialConvention
X19_PoliteDeceits,IncorrectLiteral,IncorrectNonLiteralLexicalOverlap,CorrectNonLiteral,IncorrectNonLiteralSocialConvention
X20_PoliteDeceits,IncorrectLiteral,IncorrectNonLiteralLexicalOverlap,CorrectNonLiteral,IncorrectNonLiteralSocialConvention
